OriginAirportID,DestAirportID,DayOfWeek,delay_events,n,smoothed_delay_prob
10140,14747,7,2,7,0.3333333333333333
10140,14771,1,0,3,0.2
10140,14771,2,2,4,0.5
10140,14771,3,3,3,0.8
10140,14771,4,0,2,0.25
10140,14771,5,1,3,0.4
10140,14771,6,2,8,0.3
10140,14771,7,1,7,0.2222222222222222
10140,14869,1,0,4,0.16666666666666666
10140,14869,2,0,9,0.09090909090909091
10140,14869,3,0,8,0.1
10140,14869,4,1,11,0.15384615384615385
10140,14869,5,0,9,0.09090909090909091
10140,14869,6,0,6,0.125
10140,14869,7,0,9,0.09090909090909091
10140,15376,1,0,1,0.3333333333333333
10140,15376,2,0,1,0.3333333333333333
10140,15376,3,0,1,0.3333333333333333
10140,15376,4,0,1,0.3333333333333333
10140,15376,5,0,1,0.3333333333333333
10140,15376,6,0,1,0.3333333333333333
10140,15376,7,0,1,0.3333333333333333
10299,10397,2,1,1,0.6666666666666666
10299,10397,4,0,2,0.25
10299,10397,5,0,1,0.3333333333333333
10299,10397,7,1,3,0.4
10299,11292,1,2,7,0.3333333333333333
10299,11292,2,0,5,0.14285714285714285
10299,11292,3,1,3,0.4
10299,11292,4,3,7,0.4444444444444444
10299,11292,5,0,4,0.16666666666666666
10299,11292,6,2,7,0.3333333333333333
10299,11292,7,1,8,0.2
10299,11298,3,2,2,0.75
10299,11298,4,0,2,0.25
10299,11298,5,1,1,0.6666666666666666
10299,11298,6,1,4,0.3333333333333333
10299,11298,7,2,5,0.42857142857142855
10299,12173,1,1,1,0.6666666666666666
10299,12173,2,1,6,0.25
10299,12173,3,0,2,0.25
10299,12173,4,0,1,0.3333333333333333
10299,12173,7,0,1,0.3333333333333333
10299,12266,1,1,2,0.5
10299,12266,5,0,1,0.3333333333333333
10299,12266,6,0,1,0.3333333333333333
10299,12266,7,1,2,0.5
10299,12892,1,0,4,0.16666666666666666
10299,12892,2,0,6,0.125
10299,12892,3,0,3,0.2
10299,12892,4,0,5,0.14285714285714285
10299,12892,5,1,5,0.2857142857142857
10299,12892,6,0,6,0.125
10299,12892,7,0,5,0.14285714285714285
10299,12954,2,0,2,0.25
10299,12954,3,0,1,0.3333333333333333
10299,12954,5,1,2,0.5
10299,12954,6,0,1,0.3333333333333333
10299,12954,7,0,2,0.25
10299,13487,1,1,8,0.2
10299,13487,2,2,10,0.25
10299,13487,3,2,5,0.42857142857142855
10299,13487,4,1,9,0.18181818181818182
10299,13487,5,1,4,0.3333333333333333
10299,13487,6,1,13,0.13333333333333333
10299,13487,7,0,10,0.08333333333333333
10299,13930,1,0,6,0.125
10299,13930,2,0,7,0.1111111111111111
10299,13930,3,2,5,0.42857142857142855
10299,13930,4,0,6,0.125
10299,13930,5,0,5,0.14285714285714285
10299,13930,6,0,3,0.2
10299,13930,7,0,7,0.1111111111111111
10299,14057,1,1,7,0.2222222222222222
10299,14057,2,0,4,0.16666666666666666
10299,14057,3,3,14,0.25
10299,14057,4,0,6,0.125
10299,14057,5,0,5,0.14285714285714285
10299,14057,6,0,9,0.09090909090909091
10299,14057,7,2,11,0.23076923076923078
10299,14107,1,0,3,0.2
10299,14107,2,1,3,0.4
10299,14107,3,2,4,0.5
10299,14107,4,1,7,0.2222222222222222
10299,14107,5,1,4,0.3333333333333333
10299,14107,6,0,4,0.16666666666666666
10299,14107,7,0,1,0.3333333333333333
10299,14747,1,4,55,0.08771929824561403
10299,14747,2,4,57,0.0847457627118644
10299,14747,3,1,60,0.03225806451612903
10299,14747,4,4,57,0.0847457627118644
10299,14747,5,5,59,0.09836065573770492
10299,14747,6,8,51,0.16981132075471697
10299,14747,7,6,56,0.1206896551724138
10299,14771,1,2,4,0.5
10299,14771,2,2,3,0.6
10299,14771,3,0,1,0.3333333333333333
10299,14771,4,1,5,0.2857142857142857
10299,14771,5,3,6,0.5
10299,14771,6,2,4,0.5
10299,14771,7,0,4,0.16666666666666666
10299,14869,1,1,3,0.4
10299,14869,2,0,4,0.16666666666666666
10299,14869,3,0,3,0.2
10299,14869,4,0,8,0.1
10299,14869,5,0,2,0.25
10299,14869,6,0,5,0.14285714285714285
10299,14869,7,0,3,0.2
10397,10140,1,2,7,0.3333333333333333
10397,10140,2,1,6,0.25
10397,10140,3,2,8,0.3
10397,10140,4,0,8,0.1
10397,10140,5,0,6,0.125
10397,10140,6,1,7,0.2222222222222222
10397,10140,7,2,5,0.42857142857142855
10397,10299,2,0,2,0.25
10397,10299,3,0,1,0.3333333333333333
10397,10299,4,1,2,0.5
10397,10299,5,1,3,0.4
10397,10299,6,1,3,0.4
10397,10299,7,0,1,0.3333333333333333
10397,10423,1,7,26,0.2857142857142857
10397,10423,2,4,21,0.21739130434782608
10397,10423,3,2,16,0.16666666666666666
10397,10423,4,15,34,0.4444444444444444
10397,10423,5,5,20,0.2727272727272727
10397,10423,6,5,21,0.2608695652173913
10397,10423,7,9,34,0.2777777777777778
10397,10529,1,2,24,0.11538461538461539
10397,10529,2,3,18,0.2
10397,10529,3,0,18,0.05
10397,10529,4,0,24,0.038461538461538464
10397,10529,5,3,17,0.21052631578947367
10397,10529,6,0,20,0.045454545454545456
10397,10529,7,6,13,0.4666666666666667
10397,10693,1,7,40,0.19047619047619047
10397,10693,2,1,30,0.0625
10397,10693,3,4,35,0.13513513513513514
10397,10693,4,3,26,0.14285714285714285
10397,10693,5,7,39,0.1951219512195122
10397,10693,6,5,27,0.20689655172413793
10397,10693,7,3,35,0.10810810810810811
10397,10721,1,5,49,0.11764705882352941
10397,10721,2,10,50,0.21153846153846154
10397,10721,3,10,52,0.2037037037037037
10397,10721,4,7,46,0.16666666666666666
10397,10721,5,11,54,0.21428571428571427
10397,10721,6,6,40,0.16666666666666666
10397,10721,7,9,49,0.19607843137254902
10397,10792,1,8,25,0.3333333333333333
10397,10792,2,0,22,0.041666666666666664
10397,10792,3,4,24,0.19230769230769232
10397,10792,4,6,27,0.2413793103448276
10397,10792,5,2,10,0.25
10397,10792,6,2,14,0.1875
10397,10792,7,3,16,0.2222222222222222
10397,10821,1,8,54,0.16071428571428573
10397,10821,2,6,69,0.09859154929577464
10397,10821,3,11,69,0.16901408450704225
10397,10821,4,12,59,0.21311475409836064
10397,10821,5,11,61,0.19047619047619047
10397,10821,6,8,43,0.2
10397,10821,7,17,67,0.2608695652173913
10397,11042,1,4,28,0.16666666666666666
10397,11042,2,4,21,0.21739130434782608
10397,11042,3,4,28,0.16666666666666666
10397,11042,4,3,26,0.14285714285714285
10397,11042,5,4,29,0.16129032258064516
10397,11042,6,4,24,0.19230769230769232
10397,11042,7,4,19,0.23809523809523808
10397,11057,1,11,58,0.2
10397,11057,2,6,64,0.10606060606060606
10397,11057,3,13,57,0.23728813559322035
10397,11057,4,9,55,0.17543859649122806
10397,11057,5,14,65,0.22388059701492538
10397,11057,6,7,41,0.18604651162790697
10397,11057,7,15,50,0.3076923076923077
10397,11066,1,5,26,0.21428571428571427
10397,11066,2,4,26,0.17857142857142858
10397,11066,3,8,41,0.20930232558139536
10397,11066,4,5,31,0.18181818181818182
10397,11066,5,4,33,0.14285714285714285
10397,11066,6,5,36,0.15789473684210525
10397,11066,7,10,28,0.36666666666666664
10397,11193,1,3,19,0.19047619047619047
10397,11193,2,1,20,0.09090909090909091
10397,11193,3,4,24,0.19230769230769232
10397,11193,4,5,23,0.24
10397,11193,5,4,21,0.21739130434782608
10397,11193,6,3,23,0.16
10397,11193,7,5,23,0.24
10397,11259,1,3,16,0.2222222222222222
10397,11259,2,3,15,0.23529411764705882
